image_id,image_label,mask_quartile,gt_component_count,pred_component_count,matched_component_count,component_fp,component_fn,avg_matched_iou
10,0,,0,31,0,31,0,0.0
1008,0,,0,0,0,0,0,0.0
10176,0,,0,0,0,0,0,0.0
10296,0,,0,3,0,3,0,0.0
10408,0,,0,2,0,2,0,0.0
10458,0,,0,0,0,0,0,0.0
10632,0,,0,0,0,0,0,0.0
10742,0,,0,0,0,0,0,0.0
10878,0,,0,0,0,0,0,0.0
10951,0,,0,0,0,0,0,0.0
1101,0,,0,4,0,4,0,0.0
11206,0,,0,0,0,0,0,0.0
11277,0,,0,3,0,3,0,0.0
11356,0,,0,1,0,1,0,0.0
1143,0,,0,0,0,0,0,0.0
11513,0,,0,3,0,3,0,0.0
11662,0,,0,1,0,1,0,0.0
11740,0,,0,0,0,0,0,0.0
11854,0,,0,1,0,1,0,0.0
11964,0,,0,0,0,0,0,0.0
12073,0,,0,0,0,0,0,0.0
12262,0,,0,14,0,14,0,0.0
12300,0,,0,3,0,3,0,0.0
12364,0,,0,1,0,1,0,0.0
12446,0,,0,0,0,0,0,0.0
12572,0,,0,0,0,0,0,0.0
12629,0,,0,14,0,14,0,0.0
12793,0,,0,2,0,2,0,0.0
12879,0,,0,0,0,0,0,0.0
13020,0,,0,0,0,0,0,0.0
13333,0,,0,1,0,1,0,0.0
13451,0,,0,14,0,14,0,0.0
13603,0,,0,3,0,3,0,0.0
13670,0,,0,0,0,0,0,0.0
13742,0,,0,3,0,3,0,0.0
13839,0,,0,0,0,0,0,0.0
13893,0,,0,1,0,1,0,0.0
13971,0,,0,4,0,4,0,0.0
14070,0,,0,0,0,0,0,0.0
14114,0,,0,0,0,0,0,0.0
1419,0,,0,0,0,0,0,0.0
14331,0,,0,2,0,2,0,0.0
14436,0,,0,1,0,1,0,0.0
14700,0,,0,1,0,1,0,0.0
14770,0,,0,0,0,0,0,0.0
14829,0,,0,2,0,2,0,0.0
14988,0,,0,0,0,0,0,0.0
15061,0,,0,4,0,4,0,0.0
15269,0,,0,0,0,0,0,0.0
1536,0,,0,0,0,0,0,0.0
15426,0,,0,0,0,0,0,0.0
